Itulah,Galo,Menika lo
Menghitung,Milang,Mical
Memang,Mula,Mila
Menang,Menang,Mimpang
Memindah,elih,Mindah
Tambah,Mundhak,Mindhak
Murah,Murah,Mirah
Dan juga,Muwah,Miwah
Meluaskan,Ngambakake,Miyaraken
Berjalan,Mlaku,Mlampah
Kafan,Mori,Monten
Ke sini,Rene,Mriki
Mata,Mata,Mripat
Mengajar,Mulang,Mucal
Mudah-mudahan,Muga-muga,Mugi-mugi
Bersuara,Muni,Mungel
Bahaya,Mutawatir,Mutawantos
Negara,Nagara,Nagari
Nama,Aran,Nama
Pernah,Tau,Nate
Membetulkan,Ndandani,Ndandosi
Meletakkan,Ndokokake,Ndekekaken
Menyuapi,Dulang,Ndulang
Menjauh,edoh,Nebih
Makan,Mangan,Nedha
Minta,Jaluk,Nedi
Baru saja,entas,Nembe
Nempuh,Nempuh,Nempah
Di depan,Ngarep,Ngajeng
Memajukan,Ngajokaken,Ngajengaken
Mengaku,Ngaku,Ngaken
Mengakui,Ngakoni,Ngakeni
Ke utara,Ngalor,Ngaler
Membau,Ngambu,Ngambet
Sampai,Nganti,Ngantos
Mengaji,Kaji,Ngaos
Menghargai,Ngajeni,Ngaosi
Memaafkan,Ngapura,Ngapunten
Menawar,Nganyang,Ngawis
Mengalah,Ngasor,Ngawon
Mengadakan,Nganakake,Ngawontenaken
Mengingat,Ngelingi,Ngemuti
Menghentikan,Ngendhegake,Ngendelake
Tahu,Ngerti,Ngertos
Memuat,emot,Ngewrat
Memiliki,Nduweni,Nggadahi
Menginang,Nginang,Ngganten
Menggadaikan,Gadhe,Nggantos
Menertawakan,Nggemuyu,Nggegujeng
Membangunkan,Nggugah,Nggigah
Menggugat,Nggugat,Nggigat
Menggunakan,Nggunakake,Ngginakaken
Memelihara,Ngingu,Ngingah
Melahirkan,Nglairake,Nglairaken
Sana,Kana,Ngrika
Membatin,Ngudarasa,Ngudaraos
Bertelur,Ngendhog,Nigan
Ini,Iki,Niki
Melihat,Ndeleng,Ningali
Menjaga,Njaga,Njagi
Melengkapi,Nggenepi,Njangkepi
Di luar,Njaba,Njawi
Menyakiti,Nglarani,Nyakiti
Pinjam,Nyilih,Nyambut
Bekerja,Nyambut gawe,Nyambut damel
Mencalonkan,Njagokake,Nyawungaken
Mengetahui,Meruhi,Nyemerepi
Memegang,Nyekel,Nyepeng
Menginap,Nginep,Nyipeng
Menceritakan,Nyritani,Nyriyosi
Beri,Aweh,Nyukani
Perut,Weteng,Padharan
Cari,Golek,Pados
Pencuri,Maling,Padung
Kehidupan,Panguripan,Pagesangan
Tidak percaya,Paido,Paiben
Terang,Padhang,Pajar
Laku,Payu,Pajeng
Sulung,Barep,Pambajeng
Temu,Temu,Panggih
Bercukur,Cukur,Pangkas
Perkiraan,Pangudakara,Pangudakawis
Perasaan hati,Pangudarasa,Pangudaraos
Panjang,Dawa,Panjang
Padi,Pari,Pantun
Pajak,Pajeng,Paos
Meninggal,Mati,Pejah
Halaman,Pakarangan,Pekawisan
Pasar,Pasar,Peken
Burung,Manuk,Peksi
Pendapa,Pendhapa,Pendhapi
Bagian / sisi belakang,Pungkur,Pengker
Pertemuan,Temon,Pepanggihan
Kubur,Kubur,Petak
Putih,Putih,Pethak
Pindah,Alih,Pindhah
Berapa,Pira,Pinten
Alat,Piranti,Pirantos
Dengar,Rungu,Pireng
Pisang,Gedhang,Pisang
Percaya,Andel,Pitados
Apa yang ditanyakan,Pitakon,Pitaken
Nasihat,Pituduh,Pitedah
Sendiri,Dhewe,Piyambak
Menyembelih,Sembelih,Pragat
Cat emas,Prada,Praos
Patut,Prayoga,Prayogi
Perkara,Prakara,Prekawis
Prihatin,Prihatin,Prihatos
Bangsawan,Priyayi,Priyantun
Ani-ani (Alat penuai padi),Ani-ani,Pugut
Si,Si,Pun
Apa,Apa,Punapa
Mana,endi,Pundi
Rantau,Paran,Purug
Mau,Doyan,Purun
Pusar,Puser,Puser
Burung puyuh,Gemak,Puyuh
Agak,Rada,Radi
Rata,Rata,Radin
Darah,Getih,Rah
Selamat,Rahayu,Rahajeng
Rasa,Rasa,Raos
Baju,Klambi,Rasukan
Ubah,Robah,Rebah
Rebut,Rebut,Rebat
Sedih,Redatin,Redatos
Gunung,Gunung,Redi
Harga,Rega,Regi
Sulit,Rekasa,Rekaos
Runding,Rembug,Rembag
Senang,Dhemen,Remen
Hamba,Batur,Rencang
Runtuh,Runtuh,Rentah
Rusuh,Rusuh,Resah
Sini,Kene,Riki
Situ,Kono,Riku
Simpan,Rumat,Rimat
Wayang,Wayang,Ringgit
Siang,Rina,Rinten
Sempit pandangannya,Rupak,Ripak
Hari raya,Riyaya,Riyadi
Dulu,Biyen,Riyin
Daun,Godhong,Ron
Tebu,Tebu,Rosan
Dahulu,Dhisik,Rumiyin
Rumput,Suket,Rumput
Rupa,Rupa,Rupi
Sawah,Sawah,Sabin
Jual,Adol,Sade
Baik,Apik,Sae
Sanggup,Saguh,Sagah
Dapat,Bisa,Saged
Sebentar,Sedhela,Sakedhap
Sepanjang pagi,Kesuk,Sakenjing
Asalnya,Saka,Saking
Sakit,Lara,Sakit
Sekarang,Saiki,Sakmenika
Sambung,Sambung,Sambet
Pinjaman,Silihan,Sambutan
Sama,Padha,Sami
Kau,Kok,Sampeyan
Jangan,Aja,Sampun
Segala sesuatu,Samubarang,Samukawis
Tidak jadi,Wurung,Sande
Bukan,Dudu,Sanes
Sangat,Banget,Sanget
Ditopang,Sangga,Sanggi
Sejenis rusa,Menjangan,Sangsam
Berkata,Kandha,Sanjang
Garam,Uyah,Sarem
Bersama,Bareng,Sareng
Sarung keris,Warangka,Sarungan
Serba,Sarwa,Sarwi
Tembakau,Bako,Sata
Satu,Se-,Satunggal
Asalkan,Angger,Sauger
Ular,Ula,Sawer
Jago,Jago,Sawung
lelah,Kesel,Sayah
Mengatakan,Sebut,Sebat
Sepuluh,Sepuluh,Sedasa
Semua,Kabeh,Sedaya
Laut,Segara,Seganten
Anjing,Asu,Segawon
Bunga,Kembang,Sekar
Empat,Papat,Sekawan
